PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
USA,1,2015,42,b,45,20,9874,O,O
USA,1,2015,42,b,65,10,9295,O,O
USA,1,2015,42,b,75,10,11575,O,O
USA,1,2015,42,b,85,+,15507,O,O
USA,1,2015,42,b,TOT,.,49936,O,O
USA,1,2015,43,b,0,25,1175,O,O
USA,1,2015,43,b,25,20,2446,O,O
USA,1,2015,43,b,45,20,9983,O,O
USA,1,2015,43,b,65,10,9346,O,O
USA,1,2015,43,b,75,10,11862,O,O
USA,1,2015,43,b,85,+,15949,O,O
USA,1,2015,43,b,TOT,.,50761,O,O
USA,1,2015,44,b,0,25,1167,O,O
USA,1,2015,44,b,25,20,2357,O,O
USA,1,2015,44,b,45,20,10080,O,O
USA,1,2015,44,b,65,10,9362,O,O
USA,1,2015,44,b,75,10,11698,O,O
USA,1,2015,44,b,85,+,15807,O,O
USA,1,2015,44,b,TOT,.,50471,O,O
USA,1,2015,45,b,0,25,1241,O,O
USA,1,2015,45,b,25,20,2410,O,O
USA,1,2015,45,b,45,20,10081,O,O
USA,1,2015,45,b,65,10,9565,O,O
USA,1,2015,45,b,75,10,12120,O,O
USA,1,2015,45,b,85,+,15865,O,O
USA,1,2015,45,b,TOT,.,51282,O,O
USA,1,2015,46,b,0,25,1125,O,O
USA,1,2015,46,b,25,20,2398,O,O
USA,1,2015,46,b,45,20,10214,O,O
USA,1,2015,46,b,65,10,9403,O,O
USA,1,2015,46,b,75,10,11904,O,O
USA,1,2015,46,b,85,+,15700,O,O
USA,1,2015,46,b,TOT,.,50744,O,O
USA,1,2015,47,b,0,25,1145,O,O
USA,1,2015,47,b,25,20,2337,O,O
USA,1,2015,47,b,45,20,10062,O,O
USA,1,2015,47,b,65,10,9584,O,O
USA,1,2015,47,b,75,10,12189,O,O
USA,1,2015,47,b,85,+,16172,O,O
USA,1,2015,47,b,TOT,.,51489,O,O
USA,1,2015,48,b,0,25,1191,O,O
USA,1,2015,48,b,25,20,2286,O,O
USA,1,2015,48,b,45,20,10065,O,O
USA,1,2015,48,b,65,10,9527,O,O
USA,1,2015,48,b,75,10,11957,O,O
USA,1,2015,48,b,85,+,16266,O,O
USA,1,2015,48,b,TOT,.,51292,O,O
USA,1,2015,49,b,0,25,1217,O,O
USA,1,2015,49,b,25,20,2408,O,O
USA,1,2015,49,b,45,20,10324,O,O
USA,1,2015,49,b,65,10,9574,O,O
USA,1,2015,49,b,75,10,12172,O,O
USA,1,2015,49,b,85,+,16393,O,O
USA,1,2015,49,b,TOT,.,52088,O,O
USA,1,2015,50,b,0,25,1225,O,O
USA,1,2015,50,b,25,20,2443,O,O
USA,1,2015,50,b,45,20,10471,O,O
USA,1,2015,50,b,65,10,10021,O,O
USA,1,2015,50,b,75,10,12524,O,O
USA,1,2015,50,b,85,+,16977,O,O
USA,1,2015,50,b,TOT,.,53661,O,O
USA,1,2015,51,b,0,25,1163,O,O
USA,1,2015,51,b,25,20,2373,O,O
USA,1,2015,51,b,45,20,10120,O,O
USA,1,2015,51,b,65,10,9634,O,O
USA,1,2015,51,b,75,10,12314,O,O
USA,1,2015,51,b,85,+,16344,O,O
USA,1,2015,51,b,TOT,.,51948,O,O
USA,1,2015,52,b,0,25,1226,O,O
USA,1,2015,52,b,25,20,2374,O,O
USA,1,2015,52,b,45,20,10413,O,O
USA,1,2015,52,b,65,10,9757,O,O
USA,1,2015,52,b,75,10,12574,O,O
USA,1,2015,52,b,85,+,16522,O,O
USA,1,2015,52,b,TOT,.,52866,O,O
USA,1,2015,53,b,0,25,1160,O,O
